trimestre,año,sst_total,anomalia,estado_enso
ASO,1994,27.35,0.55,El Niño
SON,1994,27.49,0.74,El Niño
OND,1994,27.71,1.01,El Niño
NDJ,1994,27.74,1.09,El Niño
DJF,1995,27.64,0.96,El Niño
JFM,1995,27.61,0.72,El Niño
FMA,1995,27.79,0.53,El Niño
MAM,1995,27.9,0.3,Neutro
AMJ,1995,27.84,0.14,Neutro
MJJ,1995,27.5,-0.03,Neutro
JJA,1995,26.97,-0.24,Neutro
JAS,1995,26.4,-0.54,La Niña
ASO,1995,25.99,-0.81,La Niña
SON,1995,25.78,-0.97,La Niña
OND,1995,25.7,-1.0,La Niña
NDJ,1995,25.66,-0.98,La Niña
DJF,1996,25.76,-0.9,La Niña
JFM,1996,26.1,-0.75,La Niña
FMA,1996,26.65,-0.59,La Niña
MAM,1996,27.2,-0.39,Neutro
AMJ,1996,27.4,-0.31,Neutro
MJJ,1996,27.23,-0.3,Neutro
JJA,1996,26.93,-0.27,Neutro
JAS,1996,26.59,-0.32,Neutro
ASO,1996,26.39,-0.35,Neutro
SON,1996,26.28,-0.4,Neutro
OND,1996,26.17,-0.45,Neutro
NDJ,1996,26.09,-0.49,Neutro
DJF,1997,26.12,-0.5,La Niña
JFM,1997,26.49,-0.36,Neutro
FMA,1997,27.14,-0.1,Neutro
MAM,1997,27.87,0.28,Neutro
AMJ,1997,28.46,0.75,El Niño
MJJ,1997,28.75,1.22,El Niño
JJA,1997,28.8,1.6,El Niño
JAS,1997,28.81,1.9,El Niño
ASO,1997,28.88,2.14,El Niño
SON,1997,29.01,2.33,El Niño
OND,1997,29.02,2.4,El Niño
NDJ,1997,28.97,2.39,El Niño
DJF,1998,28.87,2.24,El Niño
JFM,1998,28.78,1.93,El Niño
FMA,1998,28.68,1.44,El Niño
MAM,1998,28.59,0.99,El Niño
AMJ,1998,28.16,0.45,Neutro
MJJ,1998,27.39,-0.13,Neutro
JJA,1998,26.42,-0.78,La Niña
JAS,1998,25.79,-1.12,La Niña
ASO,1998,25.44,-1.31,La Niña
SON,1998,25.32,-1.35,La Niña
OND,1998,25.14,-1.48,La Niña
NDJ,1998,25.01,-1.57,La Niña
DJF,1999,25.08,-1.55,La Niña
JFM,1999,25.55,-1.3,La Niña
FMA,1999,26.17,-1.07,La Niña
MAM,1999,26.62,-0.98,La Niña
AMJ,1999,26.68,-1.02,La Niña
MJJ,1999,26.49,-1.04,La Niña
JJA,1999,26.1,-1.1,La Niña
JAS,1999,25.8,-1.11,La Niña
ASO,1999,25.58,-1.16,La Niña
SON,1999,25.41,-1.26,La Niña
OND,1999,25.16,-1.46,La Niña
NDJ,1999,24.93,-1.65,La Niña
DJF,2000,24.96,-1.66,La Niña
JFM,2000,25.44,-1.41,La Niña
FMA,2000,26.17,-1.07,La Niña
MAM,2000,26.78,-0.81,La Niña
AMJ,2000,27.0,-0.71,La Niña
MJJ,2000,26.88,-0.64,La Niña
JJA,2000,26.65,-0.55,La Niña
JAS,2000,26.4,-0.51,La Niña
ASO,2000,26.2,-0.55,La Niña
SON,2000,26.05,-0.63,La Niña
OND,2000,25.88,-0.75,La Niña
NDJ,2000,25.81,-0.74,La Niña
DJF,2001,25.88,-0.68,La Niña
JFM,2001,26.26,-0.52,La Niña
FMA,2001,26.76,-0.44,Neutro
MAM,2001,27.25,-0.34,Neutro
AMJ,2001,27.49,-0.25,Neutro
MJJ,2001,27.47,-0.12,Neutro
JJA,2001,27.2,-0.08,Neutro
JAS,2001,26.86,-0.13,Neutro
ASO,2001,26.63,-0.19,Neutro
SON,2001,26.48,-0.29,Neutro
OND,2001,26.37,-0.35,Neutro
NDJ,2001,26.31,-0.31,Neutro
DJF,2002,26.44,-0.15,Neutro
JFM,2002,26.81,0.03,Neutro
FMA,2002,27.29,0.09,Neutro
MAM,2002,27.8,0.2,Neutro
AMJ,2002,28.18,0.43,Neutro
MJJ,2002,28.24,0.65,El Niño
JJA,2002,28.06,0.79,El Niño
JAS,2002,27.85,0.86,El Niño
ASO,2002,27.83,1.01,El Niño
SON,2002,27.97,1.21,El Niño
OND,2002,28.03,1.31,El Niño
NDJ,2002,27.76,1.14,El Niño
DJF,2003,27.51,0.92,El Niño
JFM,2003,27.41,0.63,El Niño
FMA,2003,27.58,0.38,Neutro
MAM,2003,27.56,-0.04,Neutro
AMJ,2003,27.48,-0.26,Neutro
MJJ,2003,27.42,-0.16,Neutro
JJA,2003,27.35,0.08,Neutro
JAS,2003,27.2,0.21,Neutro
ASO,2003,27.08,0.26,Neutro
SON,2003,27.05,0.29,Neutro
OND,2003,27.07,0.35,Neutro
NDJ,2003,26.97,0.35,Neutro
DJF,2004,26.95,0.37,Neutro
JFM,2004,27.08,0.31,Neutro
FMA,2004,27.43,0.23,Neutro
MAM,2004,27.76,0.17,Neutro
AMJ,2004,27.91,0.17,Neutro
MJJ,2004,27.87,0.28,Neutro
JJA,2004,27.74,0.47,Neutro
JAS,2004,27.63,0.64,El Niño
ASO,2004,27.52,0.7,El Niño
SON,2004,27.44,0.67,El Niño
OND,2004,27.38,0.66,El Niño
NDJ,2004,27.3,0.69,El Niño
DJF,2005,27.22,0.64,El Niño
JFM,2005,27.36,0.58,El Niño
FMA,2005,27.65,0.45,Neutro
MAM,2005,28.02,0.43,Neutro
AMJ,2005,28.03,0.29,Neutro
MJJ,2005,27.69,0.11,Neutro
JJA,2005,27.21,-0.06,Neutro
JAS,2005,26.85,-0.14,Neutro
ASO,2005,26.71,-0.11,Neutro
SON,2005,26.48,-0.29,Neutro
OND,2005,26.15,-0.57,La Niña
NDJ,2005,25.81,-0.84,La Niña
DJF,2006,25.8,-0.85,La Niña
